rev_id	original	corrected	errorCode	idx	teifile	Main_category	Subcategory
0-13	maður þurfti	það þarf	past4pres	13-2	texti014-2006.xml	grammar	tense
0-14	NA	borð	missing-word	NA	texti014-2006.xml	vocabulary	omission
0-15	alla aðra veitingastaði	öllum öðrum veitingastöðum	nominal-inflection	15-1	texti014-2006.xml	grammar	inflection
0-15	alla aðra veitingastaði	öllum öðrum veitingastöðum	case-prep	15-1	texti014-2006.xml	grammar	case
0-16	boðið	NA	new-passive	16-1	texti014-2006.xml	grammar	syntax
0-17	NA	boðið	dep	16-1	texti014-2006.xml	other	miscellaneous
0-18	bío , félagsmiðstöðin troja	bíó . Félagsmiðstöðin Trója	missing-accent	18-1	texti014-2006.xml	orthography	typo
0-18	bío , félagsmiðstöðin troja	bíó . Félagsmiðstöðin Trója	nonword	18-1	texti014-2006.xml	orthography	nonword
0-18	bío , félagsmiðstöðin troja	bíó . Félagsmiðstöðin Trója	comma4period	18-2	texti014-2006.xml	orthography	punctuation
0-18	bío , félagsmiðstöðin troja	bíó . Félagsmiðstöðin Trója	lower4upper-proper	18-3	texti014-2006.xml	orthography	capitalization
0-18	bío , félagsmiðstöðin troja	bíó . Félagsmiðstöðin Trója	missing-accent	18-3	texti014-2006.xml	orthography	typo
0-18	bío , félagsmiðstöðin troja	bíó . Félagsmiðstöðin Trója	nonword	18-3	texti014-2006.xml	orthography	nonword
0-19	mer semsagt	mér sem sagt	missing-accent	19-1	texti014-2006.xml	orthography	typo
0-19	mer semsagt	mér sem sagt	merged-words	19-2	texti014-2006.xml	orthography	spacing
0-19	mer semsagt	mér sem sagt	nonword	19-2	texti014-2006.xml	orthography	nonword
0-20	Danska	danska	upper4lower-common	NA	texti014-2006.xml	orthography	capitalization
0-21	myndin hét semsagt riddarar réttlætisins ég	sem heitir Riddarar réttlætisins . Ég	missing-conjunction	21-1	texti014-2006.xml	orthography	punctuation
0-21	myndin hét semsagt riddarar réttlætisins ég	sem heitir Riddarar réttlætisins . Ég	past4pres	21-2	texti014-2006.xml	grammar	tense
0-21	myndin hét semsagt riddarar réttlætisins ég	sem heitir Riddarar réttlætisins . Ég	merged-words	21-3	texti014-2006.xml	orthography	spacing
0-21	myndin hét semsagt riddarar réttlætisins ég	sem heitir Riddarar réttlætisins . Ég	nonword	21-3	texti014-2006.xml	orthography	nonword
0-21	myndin hét semsagt riddarar réttlætisins ég	sem heitir Riddarar réttlætisins . Ég	extra-word	21-3	texti014-2006.xml	vocabulary	insertion
0-21	myndin hét semsagt riddarar réttlætisins ég	sem heitir Riddarar réttlætisins . Ég	lower4upper-proper	21-4	texti014-2006.xml	orthography	capitalization
0-21	myndin hét semsagt riddarar réttlætisins ég	sem heitir Riddarar réttlætisins . Ég	nonit4it	21-4	texti014-2006.xml	style	style
0-21	myndin hét semsagt riddarar réttlætisins ég	sem heitir Riddarar réttlætisins . Ég	missing-period	21-5	texti014-2006.xml	orthography	punctuation
0-22	dramatík ,	dramatísk	noun4adj	22-1	texti014-2006.xml	vocabulary	lexical
0-22	dramatík ,	dramatísk	extra-comma	22-2	texti014-2006.xml	orthography	punctuation
0-23	nefnilega	NA	extra-word	NA	texti014-2006.xml	vocabulary	insertion
0-24	af þessu	slíkt ,	wording	24-1	texti014-2006.xml	style	wording
0-24	af þessu	slíkt ,	missing-comma	24-2	texti014-2006.xml	orthography	punctuation
0-25	drama tík en hún var reyndar	dramatísk , og í raun	split-word	25-1	texti014-2006.xml	orthography	spacing
0-25	drama tík en hún var reyndar	dramatísk , og í raun	noun4adj	25-1	texti014-2006.xml	vocabulary	lexical
0-25	drama tík en hún var reyndar	dramatísk , og í raun	missing-comma	25-2	texti014-2006.xml	orthography	punctuation
0-25	drama tík en hún var reyndar	dramatísk , og í raun	conjunction	25-3	texti014-2006.xml	grammar	conjunction
0-25	drama tík en hún var reyndar	dramatísk , og í raun	extra-sub	25-4	texti014-2006.xml	grammar	syntax
0-25	drama tík en hún var reyndar	dramatísk , og í raun	extra-word	25-5	texti014-2006.xml	vocabulary	insertion
0-25	drama tík en hún var reyndar	dramatísk , og í raun	wording	25-6	texti014-2006.xml	style	wording
0-26	alex	Alex	lower4upper-proper	NA	texti014-2006.xml	orthography	capitalization
0-27	gylfi	Gylfi	lower4upper-proper	NA	texti014-2006.xml	orthography	capitalization
0-28	við	. Við	missing-period	NA	texti014-2006.xml	orthography	punctuation
0-29	iceland að kaupa okkur að drekka	Iceland	lower4upper-proper	29-1	texti014-2006.xml	orthography	capitalization
0-29	iceland að kaupa okkur að drekka	Iceland	wording	29-2	texti014-2006.xml	style	wording
0-30	NA	keyptum drykki ,	dep	29-2	texti014-2006.xml	other	miscellaneous
0-30	NA	keyptum drykki ,	missing-comma	29-3	texti014-2006.xml	orthography	punctuation
0-31	eitthvað svoleiðis svo labbaði eg	slíkt . Svo gekk ég	wording	31-1	texti014-2006.xml	style	wording
0-31	eitthvað svoleiðis svo labbaði eg	slíkt . Svo gekk ég	missing-period	31-2	texti014-2006.xml	orthography	punctuation
0-31	eitthvað svoleiðis svo labbaði eg	slíkt . Svo gekk ég	wording	31-3	texti014-2006.xml	style	wording
0-31	eitthvað svoleiðis svo labbaði eg	slíkt . Svo gekk ég	missing-accent	31-4	texti014-2006.xml	orthography	typo
0-31	eitthvað svoleiðis svo labbaði eg	slíkt . Svo gekk ég	nonword	31-4	texti014-2006.xml	orthography	nonword
0-32	út af eg	því ég	conjunction	32-1	texti014-2006.xml	grammar	conjunction
0-32	út af eg	því ég	missing-accent	32-2	texti014-2006.xml	orthography	typo
0-32	út af eg	því ég	nonword	32-2	texti014-2006.xml	orthography	nonword
0-33	fara	NA	extra-word	NA	texti014-2006.xml	vocabulary	insertion
0-34	NA	.	missing-period	NA	texti014-2006.xml	orthography	punctuation
1-1	NA	að	missing-inf-part	NA	texti015-2006.xml	grammar	syntax
1-2	Landið	Borgin	wording	NA	texti015-2006.xml	style	wording
1-3	mér	mig	dative-sub	NA	texti015-2006.xml	grammar	case
1-4	alveg geggjað	æðislegt	wording	NA	texti015-2006.xml	style	wording
1-5	meðan að	ef	conjunction	5-1	texti015-2006.xml	grammar	conjunction
1-5	meðan að	ef	extra-word	5-1	texti015-2006.xml	vocabulary	insertion
1-6	Það myndi	Bensínið yrði	wording	6-1	texti015-2006.xml	style	wording
1-7	kosta mikinn pening til þess að borga bensín	dýrt	dep	6-1	texti015-2006.xml	other	miscellaneous
1-8	að	NA	extra-word	NA	texti015-2006.xml	vocabulary	insertion
1-9	Fórum Í	fórum við í	upper4lower-noninitial	9-1	texti015-2006.xml	orthography	capitalization
1-9	Fórum Í	fórum við í	missing-sub	9-2	texti015-2006.xml	grammar	syntax
1-9	Fórum Í	fórum við í	upper4lower-noninitial	9-3	texti015-2006.xml	orthography	capitalization
1-10	, við fórum	og	comma4conjunction	10-1	texti015-2006.xml	orthography	punctuation
1-10	, við fórum	og	extra-sub	10-2	texti015-2006.xml	grammar	syntax
1-10	, við fórum	og	extra-word	10-3	texti015-2006.xml	vocabulary	insertion
1-11	eye og það	Eye . Það	lower4upper-proper	11-1	texti015-2006.xml	orthography	capitalization
1-11	eye og það	Eye . Það	foreign-name	11-1	texti015-2006.xml	orthography	foreign
1-11	eye og það	Eye . Það	conjunction4period	11-2	texti015-2006.xml	orthography	punctuation
1-12	NA	svo	missing-word	NA	texti015-2006.xml	vocabulary	omission
1-13	að	NA	extra-word	NA	texti015-2006.xml	vocabulary	insertion
1-14	frönskum	franskan	agreement-concord	NA	texti015-2006.xml	grammar	agreement
1-15	sirka	um	wording	NA	texti015-2006.xml	style	wording
1-16	NA	síðan	missing-word	NA	texti015-2006.xml	vocabulary	omission
1-17	til íslands	NA	wording	17-1	texti015-2006.xml	style	wording
1-17	til íslands	NA	lower4upper-proper	17-1	texti015-2006.xml	orthography	capitalization
1-18	,	til Íslands	extra-comma	18-1	texti015-2006.xml	orthography	punctuation
1-18	,	til Íslands	dep	17-1	texti015-2006.xml	other	miscellaneous
1-19	rosa	mjög	wording	NA	texti015-2006.xml	style	wording
1-20	ferminga myndirnar	fermingarmyndirnar	split-compound	20-1	texti015-2006.xml	orthography	spacing
1-20	ferminga myndirnar	fermingarmyndirnar	compound-collocation	20-1	texti015-2006.xml	orthography	nonword
1-21	. Og	og	extra-period	21-1	texti015-2006.xml	orthography	punctuation
1-21	. Og	og	period-plus-conjunction	21-1	texti015-2006.xml	orthography	punctuation
1-22	brúðkaups myndirnar	brúðkaupsmyndirnar	split-compound	NA	texti015-2006.xml	orthography	spacing
2-1	NA	?	missing-qm	NA	texti086-2006.xml	orthography	punctuation
2-2	.	?	period4qm	NA	texti086-2006.xml	orthography	punctuation
2-3	atvinnu mann	atvinnumann	split-compound	NA	texti086-2006.xml	orthography	spacing
2-4	lögfræði námi	lögfræðinámi	split-compound	NA	texti086-2006.xml	orthography	spacing
2-5	mínum	NA	wording	5-1	texti086-2006.xml	style	wording
2-6	utan æfinga sé	mínum læri	dep	5-1	texti086-2006.xml	other	miscellaneous
2-6	utan æfinga sé	mínum læri	extra-words	6-1	texti086-2006.xml	vocabulary	insertion
2-6	utan æfinga sé	mínum læri	wording	6-2	texti086-2006.xml	style	wording
2-7	mig vera að læra	NA	dep	6-2	texti086-2006.xml	other	miscellaneous
2-8	eyða tímanum	ver tíma	wording	8-1	texti086-2006.xml	style	wording
2-8	eyða tímanum	ver tíma	def4ind	8-2	texti086-2006.xml	grammar	definitiveness
2-9	vinnandi	heimavinnandi	wording	NA	texti086-2006.xml	style	wording
2-10	mig	NA	wording	10-1	texti086-2006.xml	style	wording
2-11	NA	mig	dep	10-1	texti086-2006.xml	other	miscellaneous
2-12	eyða tímanum	verja tíma	wording	12-1	texti086-2006.xml	style	wording
2-12	eyða tímanum	verja tíma	def4ind	12-2	texti086-2006.xml	grammar	definitiveness
2-13	mun vera	er	wording	NA	texti086-2006.xml	style	wording
2-13b	klníu	kl.9	missing-period	13b-1	texti086-2006.xml	orthography	punctuation
2-13b	klníu	kl.9	abbreviation-period	13b-1	texti086-2006.xml	orthography	punctuation
2-13b	klníu	kl.9	word4number	13b-2	texti086-2006.xml	style	numbers
2-14	morgun æfingu klukkantíu	morgunæfingu klukkan10	split-compound	14-1	texti086-2006.xml	orthography	spacing
2-14	morgun æfingu klukkantíu	morgunæfingu klukkan10	word4number	14-2	texti086-2006.xml	style	numbers
2-15	tólf leitið	tólfeytið	split-compound	15-1	texti086-2006.xml	orthography	spacing
2-15	tólf leitið	tólfeytið	i4y	15-1	texti086-2006.xml	orthography	spelling
2-15b	klukkanfjögur	klukkan4	word4number	NA	texti086-2006.xml	style	numbers
2-15c	klukkansex	klukkan6	word4number	NA	texti086-2006.xml	style	numbers
2-16	læri	læra	verb-inflection	NA	texti086-2006.xml	grammar	inflection
2-16b	klst.	klukkustundir .	abbreviation4words	NA	texti086-2006.xml	style	style
2-17	skemmti heitum	skemmtilegheitum	split-compound	17-1	texti086-2006.xml	orthography	spacing
2-17	skemmti heitum	skemmtilegheitum	nonword	17-1	texti086-2006.xml	orthography	nonword
3-1	NA	?	missing-qm	NA	texti087-2006.xml	orthography	punctuation
3-2	Oslo	Ósló í	fw4ice	2-1	texti087-2006.xml	style	style
3-2	Oslo	Ósló í	missing-prep	2-2	texti087-2006.xml	grammar	prep
3-3	ein	. Ein ,	missing-period	3-1	texti087-2006.xml	orthography	punctuation
3-3	ein	. Ein ,	missing-commas	3-2	texti087-2006.xml	orthography	punctuation
3-4	mann	manni	nominal-inflection	4-1	texti087-2006.xml	grammar	inflection
3-4	mann	manni	case-prep	4-1	texti087-2006.xml	grammar	case
3-5	börn	börnum ,	nominal-inflection	5-1	texti087-2006.xml	grammar	inflection
3-5	börn	börnum ,	case-prep	5-1	texti087-2006.xml	grammar	case
3-5	börn	börnum ,	dep	3-2	texti087-2006.xml	other	miscellaneous
3-6	lögfræði nám	lögfræðinám	split-compound	NA	texti087-2006.xml	orthography	spacing
3-7	lögræði nám	lögræðinám	split-compound	NA	texti087-2006.xml	orthography	spacing
3-8	masters eða doktors nám einhverstaðar	meistara-eðadoktorsnám einhvers staðar	fw4ice	8-1	texti087-2006.xml	style	style
3-8	masters eða doktors nám einhverstaðar	meistara-eðadoktorsnám einhvers staðar	missing-hyphen	8-1	texti087-2006.xml	orthography	spacing
3-8	masters eða doktors nám einhverstaðar	meistara-eðadoktorsnám einhvers staðar	split-compound	8-2	texti087-2006.xml	orthography	spacing
3-8	masters eða doktors nám einhverstaðar	meistara-eðadoktorsnám einhvers staðar	merged-words	8-3	texti087-2006.xml	orthography	spacing
3-8	masters eða doktors nám einhverstaðar	meistara-eðadoktorsnám einhvers staðar	agreement-concord	8-3	texti087-2006.xml	grammar	agreement
3-8	masters eða doktors nám einhverstaðar	meistara-eðadoktorsnám einhvers staðar	nonword	8-2	texti087-2006.xml	orthography	nonword
3-9	NA	,	missing-comma	NA	texti087-2006.xml	orthography	punctuation
3-10	NA	,	missing-comma	NA	texti087-2006.xml	orthography	punctuation
3-10b	pomeranian hunda	pomeranian-hunda	missing-hyphen	NA	texti087-2006.xml	orthography	spacing
3-11	coco chanel	Chanel	extra-word	11-1	texti087-2006.xml	vocabulary	insertion
3-11	coco chanel	Chanel	lower4upper-proper	11-2	texti087-2006.xml	orthography	capitalization
3-11	coco chanel	Chanel	foreign-name	11-2	texti087-2006.xml	orthography	foreign
3-12	allskonar	alls konar	merged-words	12-1	texti087-2006.xml	orthography	spacing
3-12	allskonar	alls konar	nonword	12-1	texti087-2006.xml	orthography	nonword
3-13	þar sem maður er	NA	extra-words	NA	texti087-2006.xml	vocabulary	insertion
3-14	eiffel turninn	Eiffelturninn	lower4upper-proper	14-1	texti087-2006.xml	orthography	capitalization
3-14	eiffel turninn	Eiffelturninn	foreign-name	14-1	texti087-2006.xml	orthography	foreign
3-14	eiffel turninn	Eiffelturninn	missing-hyphen	14-1	texti087-2006.xml	orthography	spacing
3-15	NA	,	missing-comma	NA	texti087-2006.xml	orthography	punctuation
3-16	ennþá	enn þá	merged-words	16-1	texti087-2006.xml	orthography	spacing
3-16	ennþá	enn þá	nonword	16-1	texti087-2006.xml	orthography	nonword
4-1	norður-Afríku	Norður-Afríku	lower4upper-proper	NA	texti057-2005.xml	orthography	capitalization
4-2	Memphis	Memfis	fw4ice	NA	texti057-2005.xml	style	style
4-3	Hwt-Ka-Ptah	Hwt-Ka-Ptah	nonit4it	NA	texti057-2005.xml	style	style
4-4	NA	„	missing-quots	4-1	texti057-2005.xml	orthography	punctuation
4-5	NA	“	dep	4-1	texti057-2005.xml	other	miscellaneous
4-6	fyrri tímabili Egyptalands	forsögulegum tímum	wording	NA	texti057-2005.xml	style	wording
4-7	loftlagið	loftslag Egyptalands	compound-collocation	7-1	texti057-2005.xml	orthography	nonword
4-7	loftlagið	loftslag Egyptalands	def4ind	7-1	texti057-2005.xml	grammar	definitiveness
4-7	loftlagið	loftslag Egyptalands	missing-word	7-2	texti057-2005.xml	vocabulary	omission
4-8	trjáum	trjám	extra-letter	8-1	texti057-2005.xml	orthography	typo
4-8	trjáum	trjám	nonword	8-1	texti057-2005.xml	orthography	nonword
4-9	með	af	wrong-prep	NA	texti057-2005.xml	grammar	prep
4-10	af beitardýrum	grasbíta	extra-prep	10-1	texti057-2005.xml	grammar	prep
4-10	af beitardýrum	grasbíta	nonword	10-2	texti057-2005.xml	orthography	nonword
4-11	Gróður og dýralíf voru	Plöntu-ogdýralíf var	wording	11-1	texti057-2005.xml	style	wording
4-11	Gróður og dýralíf voru	Plöntu-ogdýralíf var	agreement	11-2	texti057-2005.xml	grammar	agreement
4-12	meiri í öllum umhverfum	þéttara um landið allt	wording	12-1	texti057-2005.xml	style	wording
4-12	meiri í öllum umhverfum	þéttara um landið allt	wording	12-2	texti057-2005.xml	style	wording
4-12b	studdi stóra stofna	var búsvæði stórra stofna vatnafugla	wording	12b-1	texti057-2005.xml	style	wording
4-12b	studdi stóra stofna	var búsvæði stórra stofna vatnafugla	missing-word	12b-2	texti057-2005.xml	vocabulary	omission
4-13	Veiðar hefðu verið algengar fyrir Egypta	Forn-Egyptar veiddu mikið	wording	NA	texti057-2005.xml	style	wording
4-16	þetta er líka tímabilið þar sem	NA	wording	16-1	texti057-2005.xml	style	wording
4-18	greind	tamin á þessu tímabili	context	NA	texti057-2005.xml	vocabulary	lexical
4-18	greind	tamin á þessu tímabili	dep	16-1	texti057-2005.xml	other	miscellaneous
4-20	,	NA	extra-commas	20-1	texti057-2005.xml	orthography	punctuation
4-21	Níldalnum ,	Nílardalnum þegar	compound-collocation	21-1	texti057-2005.xml	orthography	nonword
4-21	Níldalnum ,	Nílardalnum þegar	dep	20-1	texti057-2005.xml	other	miscellaneous
4-21	Níldalnum ,	Nílardalnum þegar	missing-word	21-2	texti057-2005.xml	vocabulary	omission
4-22	þróast í röð menningarheima	þróað menningu sína mikið	wording	NA	texti057-2005.xml	style	wording
4-23	sem sýndu fram á	og höfðu tileinkað sér	conjunction	23-1	texti057-2005.xml	grammar	conjunction
4-23	sem sýndu fram á	og höfðu tileinkað sér	wording	23-2	texti057-2005.xml	style	wording
4-24	yfirráð yfir landbúnaði	landbúnað	extra-word	24-1	texti057-2005.xml	vocabulary	insertion
4-24	yfirráð yfir landbúnaði	landbúnað	extra-prep	24-2	texti057-2005.xml	grammar	prep
4-25	, sem varð mjög rík og menningarmikil	NA	extra-comma	25-1	texti057-2005.xml	orthography	punctuation
4-25	, sem varð mjög rík og menningarmikil	NA	extra-conjunction	25-2	texti057-2005.xml	orthography	punctuation
4-25	, sem varð mjög rík og menningarmikil	NA	extra-fin-verb	25-3	texti057-2005.xml	grammar	syntax
4-25	, sem varð mjög rík og menningarmikil	NA	extra-words	25-4	texti057-2005.xml	vocabulary	insertion
4-26	Í menningunni voru gripir búnir	Þessir ættbálkar bjuggu	wording	26-1	texti057-2005.xml	style	wording
4-27	NA	dýrgripi	dep	26-1	texti057-2005.xml	other	miscellaneous
4-28	leirmunir	leirmuni	dep	26-1	texti057-2005.xml	other	miscellaneous
4-29	kambar	kamba	dep	26-1	texti057-2005.xml	other	miscellaneous
4-30	Stærsta þessara fyrstu menningarheima menningarheima í efri Egyptalandi var Badarian menningin	Mest áhrif fornmenningar egypsku yfirstéttarinnar hafði Badari-menningin	adjective-inflection	30-1	texti057-2005.xml	grammar	inflection
4-30	Stærsta þessara fyrstu menningarheima menningarheima í efri Egyptalandi var Badarian menningin	Mest áhrif fornmenningar egypsku yfirstéttarinnar hafði Badari-menningin	wording	30-1	texti057-2005.xml	style	wording
4-30	Stærsta þessara fyrstu menningarheima menningarheima í efri Egyptalandi var Badarian menningin	Mest áhrif fornmenningar egypsku yfirstéttarinnar hafði Badari-menningin	repeat-word	30-2	texti057-2005.xml	vocabulary	insertion
4-30	Stærsta þessara fyrstu menningarheima menningarheima í efri Egyptalandi var Badarian menningin	Mest áhrif fornmenningar egypsku yfirstéttarinnar hafði Badari-menningin	wording	30-3	texti057-2005.xml	style	wording
4-30	Stærsta þessara fyrstu menningarheima menningarheima í efri Egyptalandi var Badarian menningin	Mest áhrif fornmenningar egypsku yfirstéttarinnar hafði Badari-menningin	missing-hyphen	30-4	texti057-2005.xml	orthography	spacing
4-34	vestur	vestanverðri	wording	NA	texti057-2005.xml	style	wording
4-35	það	hún	agreement-pro	NA	texti057-2005.xml	grammar	agreement
4-36	notkun þess á kopar	nýtingu kopars	wording	26-1	texti057-2005.xml	style	wording
4-36	notkun þess á kopar	nýtingu kopars	extra-dem-pro	26-2	texti057-2005.xml	grammar	definitiveness
4-36	notkun þess á kopar	nýtingu kopars	extra-prep	26-3	texti057-2005.xml	grammar	prep
4-37	Badarianarnir	Badari-fólkið	wording	37-1	texti057-2005.xml	style	wording
4-38	voru	var forfeður og formæður	dep	37-1	texti057-2005.xml	other	miscellaneous
4-38	voru	var forfeður og formæður	missing-word	37-2	texti057-2005.xml	vocabulary	omission
4-38	voru	var forfeður og formæður	missing-conjunction	37-3	texti057-2005.xml	orthography	punctuation
4-38	voru	var forfeður og formæður	missing-word	37-4	texti057-2005.xml	vocabulary	omission
4-39	Forn Egyptar	Forn-Egyptar	missing-hyphen	NA	texti057-2005.xml	orthography	spacing
4-40	sjálfa sig Kemet	landið Kemet	wording	40-1	texti057-2005.xml	style	wording
4-40	sjálfa sig Kemet	landið Kemet	nonit4it	40-2	texti057-2005.xml	style	style
4-41	“ Svart	svart	extra-quots	41-1	texti057-2005.xml	orthography	punctuation
4-41	“ Svart	svart	upper4lower-common	41-2	texti057-2005.xml	orthography	capitalization
4-42	” þeir kölluðu sig það út af dökkri moltu hjá ánni	. Nafngiftin kom til vegna dökka jarðvegarins við ána	dep	41-1	texti057-2005.xml	other	miscellaneous
4-42	” þeir kölluðu sig það út af dökkri moltu hjá ánni	. Nafngiftin kom til vegna dökka jarðvegarins við ána	missing-period	42-1	texti057-2005.xml	orthography	punctuation
4-42	” þeir kölluðu sig það út af dökkri moltu hjá ánni	. Nafngiftin kom til vegna dökka jarðvegarins við ána	wording	42-2	texti057-2005.xml	style	wording
4-43	Egyptar	Forn-Egyptar	missing-word	NA	texti057-2005.xml	vocabulary	omission
4-44	byggðu fyrst	settust fyrst að ,	wording	44-1	texti057-2005.xml	style	wording
4-44	byggðu fyrst	settust fyrst að ,	missing-comma	44-2	texti057-2005.xml	orthography	punctuation
4-45	nafni sínu	nafninu	extra-word	45-1	texti057-2005.xml	vocabulary	insertion
4-45	nafni sínu	nafninu	ind4def	45-2	texti057-2005.xml	grammar	definitiveness
4-46	Misr	Misr	nonit4it	NA	texti057-2005.xml	style	style
4-47	“	„	wrong-quots	47-1	texti057-2005.xml	orthography	punctuation
4-48	”	“	dep	47-1	texti057-2005.xml	other	miscellaneous
4-49	Egyptaland var	Forn-Egyptar voru	wording	NA	texti057-2005.xml	style	wording
4-50	topp	þróuðustu	wording	NA	texti057-2005.xml	style	wording
4-51	forn-jarðar , Egyptar fram fóru	síns tíma . Þeir tóku miklum framförum	extra-hyphen	51-1	texti057-2005.xml	orthography	punctuation
4-51	forn-jarðar , Egyptar fram fóru	síns tíma . Þeir tóku miklum framförum	wording	51-2	texti057-2005.xml	style	wording
4-51	forn-jarðar , Egyptar fram fóru	síns tíma . Þeir tóku miklum framförum	comma4period	51-3	texti057-2005.xml	orthography	punctuation
4-51	forn-jarðar , Egyptar fram fóru	síns tíma . Þeir tóku miklum framförum	noun4pro	51-4	texti057-2005.xml	coherence	pro
4-51	forn-jarðar , Egyptar fram fóru	síns tíma . Þeir tóku miklum framförum	v3	51-5	texti057-2005.xml	grammar	syntax
4-51	forn-jarðar , Egyptar fram fóru	síns tíma . Þeir tóku miklum framförum	wording	51-6	texti057-2005.xml	style	wording
4-53	trúum ,	trú	plural4singular	53-1	texti057-2005.xml	vocabulary	semantic
4-53	trúum ,	trú	extra-comma	53-2	texti057-2005.xml	orthography	punctuation
4-53b	Þeirra stóru og miklu meistaraverk	Stór og mikil listaverk þeirra	wording	NA	texti057-2005.xml	style	wording
4-54	ennþá	enn þá	merged-words	54-1	texti057-2005.xml	orthography	spacing
4-54	ennþá	enn þá	nonword	54-1	texti057-2005.xml	orthography	nonword
4-55	ennþá	enn þá	merged-words	55-1	texti057-2005.xml	orthography	spacing
4-55	ennþá	enn þá	nonword	55-1	texti057-2005.xml	orthography	nonword
4-56	Egyptar	Forn-Egyptar	missing-word	NA	texti057-2005.xml	vocabulary	omission
4-57	pýramídanna	pýramídana	nn4n	NA	texti057-2005.xml	orthography	spelling
4-58	Egyptar	Forn-Egyptar	missing-word	NA	texti057-2005.xml	vocabulary	omission
4-59	í tveim	tveggja	extra-prep	NA	texti057-2005.xml	grammar	prep
4-60	trúum	trúarbragða	wording	NA	texti057-2005.xml	style	wording
4-61	Kristin Trú	kristni	upper4lower-common	61-1	texti057-2005.xml	orthography	capitalization
4-61	Kristin Trú	kristni	wording	61-1	texti057-2005.xml	style	wording
4-61	Kristin Trú	kristni	extra-word	61-2	texti057-2005.xml	vocabulary	insertion
4-62	Gyðingatrú	gyðingdóms	wording	62-1	texti057-2005.xml	style	wording
4-62	Gyðingatrú	gyðingdóms	upper4lower-common	62-1	texti057-2005.xml	orthography	capitalization
4-63	hlutverk þeirra var ekki sem góðu gæjarnir	þeir hafi ekki leikið hlutverk góðu gæjanna ,	wording	63-1	texti057-2005.xml	style	wording
4-63	hlutverk þeirra var ekki sem góðu gæjarnir	þeir hafi ekki leikið hlutverk góðu gæjanna ,	missing-comma	63-2	texti057-2005.xml	orthography	punctuation
4-64	meira svona sem þrælahaldarar	öllu heldur verið þrælahaldararnir	wording	NA	texti057-2005.xml	style	wording
4-67	en ennþá	NA	extra-conjunction	67-1	texti057-2005.xml	orthography	punctuation
4-67	en ennþá	NA	comma-plus-conjunction	67-1	texti057-2005.xml	orthography	punctuation
4-67	en ennþá	NA	extra-word	67-2	texti057-2005.xml	vocabulary	insertion
4-68	NA	samt	missing-word	NA	texti057-2005.xml	vocabulary	omission
4-70	þeirra kúgun	kúgun þeirra	wording	NA	texti057-2005.xml	style	wording
4-71	bjuggu til þessar trúir	sáðu fræjum þessara trúarbragða	wording	NA	texti057-2005.xml	style	wording
4-72	Egyptaland	Forn-Egyptaland	missing-word	NA	texti057-2005.xml	vocabulary	omission
4-72b	byrjaði sem	skiptist í upphafi í	wording	NA	texti057-2005.xml	style	wording
