rev_id	original	corrected	errorCode	idx	teifile	Main_category	Subcategory
0-16	settningu	setningu	pronun-writing	16-1	texti010.xml	orthography	spelling
0-16	settningu	setningu	nonword	16-1	texti010.xml	orthography	nonword
0-17	bónus	Bónus	lower4upper-proper	NA	texti010.xml	orthography	capitalization
0-17b	Svo við fórum	Við fórum því	wording	NA	texti010.xml	style	wording
0-18	spurðum hann til	buðum honum	wording	18-1	texti010.xml	style	wording
0-18	spurðum hann til	buðum honum	extra-conjunction	18-2	texti010.xml	orthography	punctuation
0-19	koma í keppni	keppa	wording	NA	texti010.xml	style	wording
0-20	segjir	segir :	extra-letter	20-1	texti010.xml	orthography	typo
0-20	segjir	segir :	pronun-writing	20-1	texti010.xml	orthography	spelling
0-20	segjir	segir :	nonword	20-1	texti010.xml	orthography	nonword
0-20	segjir	segir :	missing-colon	20-2	texti010.xml	orthography	punctuation
0-21	yes	Yes	lower4upper-initial	NA	texti010.xml	orthography	capitalization
0-22	NA	,	missing-comma	NA	texti010.xml	orthography	punctuation
0-24	hálnaðir snír	hálfnaðir snýr	missing-letter	24-1	texti010.xml	orthography	typo
0-24	hálnaðir snír	hálfnaðir snýr	pronun-writing	24-1	texti010.xml	orthography	spelling
0-24	hálnaðir snír	hálfnaðir snýr	í4ý	24-2	texti010.xml	orthography	spelling
0-24	hálnaðir snír	hálfnaðir snýr	nonword	24-2	texti010.xml	orthography	nonword
0-25	ættlaði	ætla	extra-letter	25-1	texti010.xml	orthography	typo
0-25	ættlaði	ætla	pronun-writing	25-1	texti010.xml	orthography	spelling
0-25	ættlaði	ætla	nonword	25-1	texti010.xml	orthography	nonword
0-26	mætuur	kominn	extra-letter	26-1	texti010.xml	orthography	typo
0-26	mætuur	kominn	missing-letter	26-1	texti010.xml	orthography	typo
0-26	mætuur	kominn	nonword	26-1	texti010.xml	orthography	nonword
0-27	ættlaði	ætla	extra-letter	27-1	texti010.xml	orthography	typo
0-27	ættlaði	ætla	pronun-writing	27-1	texti010.xml	orthography	spelling
0-27	ættlaði	ætla	nonword	27-1	texti010.xml	orthography	nonword
0-27	ættlaði	ætla	past4pres	27-1	texti010.xml	grammar	tense
0-28	kvíla	hvíla	kv4hv	28-1	texti010.xml	orthography	spelling
0-28	kvíla	hvíla	nonword	28-1	texti010.xml	orthography	nonword
0-29	enn	en	nn4n	29-1	texti010.xml	orthography	spelling
0-29	enn	en	pronun-writing	29-1	texti010.xml	orthography	spelling
0-30	en þá	. Þá	conjunction4period	NA	texti010.xml	orthography	punctuation
0-31	. Þannig	þannig	extra-period	NA	texti010.xml	orthography	punctuation
0-32	legg	syndi strax	wording	NA	texti010.xml	style	wording
0-33	til baka , síðan þegar	. Þegar	extra-words	33-1	texti010.xml	vocabulary	insertion
0-33	til baka , síðan þegar	. Þegar	comma4period	33-2	texti010.xml	orthography	punctuation
0-33	til baka , síðan þegar	. Þegar	extra-word	33-3	texti010.xml	vocabulary	insertion
0-34	vera að	NA	cont4simple	NA	texti010.xml	grammar	aspect
0-35	fílusvipinn	fýlusvipinn	í4ý	35-1	texti010.xml	orthography	spelling
0-35	fílusvipinn	fýlusvipinn	nonword	35-1	texti010.xml	orthography	nonword
0-36	kellinguni	kerlingunni	letter-rep	36-1	texti010.xml	orthography	typo
0-36	kellinguni	kerlingunni	pronun-writing	36-1	texti010.xml	orthography	spelling
0-36	kellinguni	kerlingunni	n4nn	36-1	texti010.xml	orthography	spelling
0-36	kellinguni	kerlingunni	nonword	36-1	texti010.xml	orthography	nonword
0-37	vök	Vök	lower4upper-proper	NA	texti010.xml	orthography	capitalization
0-38	eg ættlaði	ég ætlaði	missing-accent	38-1	texti010.xml	orthography	typo
0-38	eg ættlaði	ég ætlaði	nonword	38-1	texti010.xml	orthography	nonword
0-38	eg ættlaði	ég ætlaði	extra-letter	38-2	texti010.xml	orthography	typo
0-38	eg ættlaði	ég ætlaði	pronun-writing	38-2	texti010.xml	orthography	spelling
0-38	eg ættlaði	ég ætlaði	nonword	38-2	texti010.xml	orthography	nonword
0-39	eftir það	NA	extra-words	NA	texti010.xml	vocabulary	insertion
0-40	allair	allir	extra-letter	40-1	texti010.xml	orthography	typo
0-40	allair	allir	nonword	40-1	texti010.xml	orthography	nonword
0-41	við	NA	extra-sub	NA	texti010.xml	grammar	syntax
0-42	eins	einnar	agreement-concord	NA	texti010.xml	grammar	agreement
0-43	í vök	frá Vök	wrong-prep	43-1	texti010.xml	grammar	prep
0-43	í vök	frá Vök	lower4upper-proper	43-2	texti010.xml	orthography	capitalization
1-2	er	snýst um	wording	NA	texti004.xml	style	wording
1-3	app	smáforrit	fw4ice	NA	texti004.xml	style	style
1-4	verður	líður	wording	NA	texti004.xml	style	wording
1-5	krónunar	krónunnar	n4nn	5-1	texti004.xml	orthography	spelling
1-5	krónunar	krónunnar	genitive	5-1	texti004.xml	grammar	inflection
1-6	NA	,	missing-comma	NA	texti004.xml	orthography	punctuation
1-7	að varan sé	vöruna	wording	NA	texti004.xml	style	wording
1-7b	, hvernig	. Hvernig	comma4period	NA	texti004.xml	orthography	punctuation
1-8	geta	neytandi gæti	missing-sub	8-1	texti004.xml	grammar	syntax
1-8	geta	neytandi gæti	ind4sub	8-2	texti004.xml	grammar	mood
1-9	App	smáforrit	fw4ice	NA	texti004.xml	style	style
1-10	Android og iPhone	Android-ogiPhone-stýrikerfi	missing-hyphen	10-1	texti004.xml	orthography	spacing
1-10	Android og iPhone	Android-ogiPhone-stýrikerfi	missing-hyphen	10-2	texti004.xml	orthography	spacing
1-10	Android og iPhone	Android-ogiPhone-stýrikerfi	missing-word	10-3	texti004.xml	vocabulary	omission
1-11	saman	NA	extra-word	NA	texti004.xml	vocabulary	insertion
1-12	gert	gera	verb-inflection	NA	texti004.xml	grammar	inflection
1-13	íslandi	Íslandi	lower4upper-proper	NA	texti004.xml	orthography	capitalization
1-14	annarstaðar	annars staðar	merged-words	NA	texti004.xml	orthography	spacing
1-15	íslensk	íslensks	genitive	15-1	texti004.xml	grammar	inflection
1-15	íslensk	íslensks	adjective-inflection	15-1	texti004.xml	grammar	inflection
1-16	neyða	framkalla	wording	NA	texti004.xml	style	wording
1-17	spin-off	NA	extra-word	NA	texti004.xml	vocabulary	insertion
1-18	afstað	af stað	merged-words	NA	texti004.xml	orthography	spacing
1-19	einsog Meninga	eins og Meniga	merged-words	19-1	texti004.xml	orthography	spacing
1-19	einsog Meninga	eins og Meniga	extra-letter	19-2	texti004.xml	orthography	typo
1-19	einsog Meninga	eins og Meniga	name-error	19-2	texti004.xml	orthography	spelling
1-20	app	smáforrit .	fw4ice	20-1	texti004.xml	style	style
1-20	app	smáforrit .	missing-period	20-2	texti004.xml	orthography	punctuation
1-21	Vörukörfu app þar sem kúnni	Smáforrit fyrir vörukörfu : Kúnni	loan-syntax	21-1	texti004.xml	grammar	syntax
1-21	Vörukörfu app þar sem kúnni	Smáforrit fyrir vörukörfu : Kúnni	fw4ice	21-1	texti004.xml	style	style
1-21	Vörukörfu app þar sem kúnni	Smáforrit fyrir vörukörfu : Kúnni	missing-prep	21-1	texti004.xml	grammar	prep
1-21	Vörukörfu app þar sem kúnni	Smáforrit fyrir vörukörfu : Kúnni	missing-colon	21-2	texti004.xml	orthography	punctuation
1-21	Vörukörfu app þar sem kúnni	Smáforrit fyrir vörukörfu : Kúnni	extra-conjunction	21-3	texti004.xml	orthography	punctuation
1-22	Uppskriftar app þar sem þú færð	Smáforrit fyrir uppskriftir : Kúnni fær	loan-syntax	22-1	texti004.xml	grammar	syntax
1-22	Uppskriftar app þar sem þú færð	Smáforrit fyrir uppskriftir : Kúnni fær	fw4ice	22-1	texti004.xml	style	style
1-22	Uppskriftar app þar sem þú færð	Smáforrit fyrir uppskriftir : Kúnni fær	missing-prep	22-1	texti004.xml	grammar	prep
1-22	Uppskriftar app þar sem þú færð	Smáforrit fyrir uppskriftir : Kúnni fær	missing-colon	22-2	texti004.xml	orthography	punctuation
1-22	Uppskriftar app þar sem þú færð	Smáforrit fyrir uppskriftir : Kúnni fær	extra-conjunction	22-3	texti004.xml	orthography	punctuation
1-22	Uppskriftar app þar sem þú færð	Smáforrit fyrir uppskriftir : Kúnni fær	wording	22-4	texti004.xml	style	wording
1-23	NA	.	missing-period	NA	texti004.xml	orthography	punctuation
2-2	samfélagið verður fyrir	bitna á samfélaginu	wording	NA	texti005.xml	style	wording
2-3	krónunar	krónunnar	n4nn	3-1	texti005.xml	orthography	spelling
2-3	krónunar	krónunnar	genitive	3-1	texti005.xml	grammar	inflection
2-3	krónunar	krónunnar	nonword	3-1	texti005.xml	orthography	nonword
2-4	NA	,	missing-comma	NA	texti005.xml	orthography	punctuation
2-5	að varan sé	vöruna	wording	NA	texti005.xml	style	wording
2-5b	, hvernig	. Hvernig	comma4period	NA	texti005.xml	orthography	punctuation
2-6	geta	neytandi gæti	missing-sub	6-1	texti005.xml	grammar	syntax
2-6	geta	neytandi gæti	ind4sub	6-2	texti005.xml	grammar	mood
2-7	App	smáforrit	fw4ice	NA	texti005.xml	style	style
2-8	Android og iPhone	Android-ogiPhone-stýrikerfi	missing-hyphen	8-1	texti005.xml	orthography	spacing
2-8	Android og iPhone	Android-ogiPhone-stýrikerfi	missing-word	8-1	texti005.xml	vocabulary	omission
2-9	saman	NA	extra-word	NA	texti005.xml	vocabulary	insertion
2-10	gert	gera	verb-inflection	NA	texti005.xml	grammar	inflection
2-11	appið	smáforritið	fw4ice	NA	texti005.xml	style	style
2-12	á android	fyrir Android-stýrikerfi	wrong-prep	12-1	texti005.xml	grammar	prep
2-12	á android	fyrir Android-stýrikerfi	lower4upper-proper	12-2	texti005.xml	orthography	capitalization
2-12	á android	fyrir Android-stýrikerfi	missing-hyphen	12-2	texti005.xml	orthography	spacing
2-12	á android	fyrir Android-stýrikerfi	missing-word	12-2	texti005.xml	vocabulary	omission
2-13	;	, þ.e.	semicolon4comma	13-1	texti005.xml	orthography	punctuation
2-13	;	, þ.e.	missing-word	13-2	texti005.xml	vocabulary	omission
2-14	,	og	comma4conjunction	NA	texti005.xml	orthography	punctuation
2-14b	fítusum	eiginleikum	fw4ice	NA	texti005.xml	style	style
2-15	android	Android-stýrikerfi	lower4upper-proper	15-1	texti005.xml	orthography	capitalization
2-15	android	Android-stýrikerfi	missing-hyphen	15-1	texti005.xml	orthography	spacing
2-15	android	Android-stýrikerfi	missing-word	15-1	texti005.xml	vocabulary	omission
2-16	appi	NA	fw4ice	16-1	texti005.xml	style	style
2-16	appi	NA	wording	16-1	texti005.xml	style	wording
2-17	iPhone	smáforriti fyrir iPhone-stýrikerfi	dep	16-1	texti005.xml	other	miscellaneous
2-17	iPhone	smáforriti fyrir iPhone-stýrikerfi	missing-prep	17-1	texti005.xml	grammar	prep
2-17	iPhone	smáforriti fyrir iPhone-stýrikerfi	missing-hyphen	17-2	texti005.xml	orthography	spacing
2-17	iPhone	smáforriti fyrir iPhone-stýrikerfi	missing-word	17-2	texti005.xml	vocabulary	omission
2-18	Thoarensen	Thorarensen	missing-letter	18-1	texti005.xml	orthography	typo
2-18	Thoarensen	Thorarensen	name-error	18-1	texti005.xml	orthography	spelling
2-19	einsog	eins og	merged-words	NA	texti005.xml	orthography	spacing
2-20	appið	smáforritið	fw4ice	NA	texti005.xml	style	style
2-21	, appið	: smáforritið	comma4colon	21-1	texti005.xml	orthography	punctuation
2-21	, appið	: smáforritið	fw4ice	21-2	texti005.xml	style	style
2-22	frítt	ókeypis	style	NA	texti005.xml	style	style
2-23	Play Store	Play-versluninni	missing-hyphen	23-1	texti005.xml	orthography	spacing
2-23	Play Store	Play-versluninni	fw4ice	23-2	texti005.xml	style	style
2-24	„ share “	deilingar	extra-quots	24-1	texti005.xml	orthography	punctuation
2-24	„ share “	deilingar	fw4ice	24-2	texti005.xml	style	style
2-25	NA	að	missing-inf-part	NA	texti005.xml	grammar	syntax
2-26	appinu ,	smáforritinu	fw4ice	26-1	texti005.xml	style	style
2-26	appinu ,	smáforritinu	extra-comma	26-2	texti005.xml	orthography	punctuation
2-27	hinsvegar	hins vegar	merged-words	NA	texti005.xml	orthography	spacing
2-28	appsins	smáforritsins	fw4ice	NA	texti005.xml	style	style
2-30	App sem hjálpar	Smáforritið mun hjálpa	fw4ice	30-1	texti005.xml	style	style
2-30	App sem hjálpar	Smáforritið mun hjálpa	ind4def	30-1	texti005.xml	grammar	definitiveness
2-30	App sem hjálpar	Smáforritið mun hjálpa	extra-conjunction	30-2	texti005.xml	orthography	punctuation
2-30	App sem hjálpar	Smáforritið mun hjálpa	aux	30-3	texti005.xml	vocabulary	aux
2-30b	,	;	comma4semicolon	NA	texti005.xml	orthography	punctuation
2-31	neyðir	framkallar	context	NA	texti005.xml	vocabulary	lexical
2-32	Ekki er búið að stofna neitt	Ekkert hefur verið stofnað	wording	NA	texti005.xml	style	wording
2-33	ekki er búið	enn á eftir	wording	NA	texti005.xml	style	wording
2-34	á að hátta	NA	act4pass	34-1	texti005.xml	grammar	voice
2-35	NA	verður háttað	dep	34-1	texti005.xml	other	miscellaneous
2-37	Helsta vara	Helsti ávinningur	wording	NA	texti005.xml	style	wording
2-38	stunda meiri	auka	wording	NA	texti005.xml	style	wording
2-39	myndi	minnkar	extra-munu	39-1	texti005.xml	grammar	aux
2-40	minnka	NA	dep	39-1	texti005.xml	other	miscellaneous
2-41	væri	væru	agreement	NA	texti005.xml	grammar	agreement
2-42	spin-off möguleika	aukamöguleika	fw4ice	NA	texti005.xml	style	style
2-43	hljóma uppá	hljóða upp á	context	43-1	texti005.xml	vocabulary	lexical
2-43	hljóma uppá	hljóða upp á	collocation	43-1	texti005.xml	vocabulary	collocation
2-43	hljóma uppá	hljóða upp á	merged-words	43-2	texti005.xml	orthography	spacing
2-44	app	smáforrit	fw4ice	NA	texti005.xml	style	style
2-45	vefsíða	vefsíðu	case-prep	NA	texti005.xml	grammar	case
2-45b	því	það	pro-inflection	45b-1	texti005.xml	grammar	inflection
2-45b	því	það	case-prep	45b-1	texti005.xml	grammar	case
2-47	þar sem	,	conjunction4comma	NA	texti005.xml	orthography	punctuation
2-48	af því að	þar sem	conjunction	NA	texti005.xml	grammar	conjunction
2-49	lætur vita á undan	boðar komu sína	wording	NA	texti005.xml	style	wording
2-50	NA	verð	missing-obj	NA	texti005.xml	grammar	syntax
2-51	Appið	Smáforritið	fw4ice	NA	texti005.xml	style	style
2-52	neytandanum	neytendunum	singular4plural	NA	texti005.xml	vocabulary	semantic
2-53	í raun	með því	style	53-1	texti005.xml	style	style
2-53	í raun	með því	missing-prep	53-2	texti005.xml	grammar	prep
2-53	í raun	með því	missing-word	53-3	texti005.xml	vocabulary	omission
2-54	NA	í raun	dep	53-1	texti005.xml	other	miscellaneous
2-55	app einsog	smáforrit eins og það sem	fw4ice	55-1	texti005.xml	style	style
2-55	app einsog	smáforrit eins og það sem	merged-words	55-2	texti005.xml	orthography	spacing
2-55	app einsog	smáforrit eins og það sem	missing-words	55-3	texti005.xml	vocabulary	omission
2-56	verðsamanburðaröpp	verðsamanburðarsmáforrit	fw4ice	NA	texti005.xml	style	style
2-57	kjarnann	grunninn	wording	NA	texti005.xml	style	wording
2-58	NA	en	missing-conjunction	NA	texti005.xml	orthography	punctuation
2-59	NA	í	missing-prep	NA	texti005.xml	grammar	prep
2-60	öllu	öllum	agreement-concord	NA	texti005.xml	grammar	agreement
2-61	app	NA	fw4ice	61-1	texti005.xml	style	style
2-61	app	NA	wording	61-1	texti005.xml	style	wording
2-62	NA	fyrir smáforrit	dep	61-1	texti005.xml	other	miscellaneous
2-63	google	Google	lower4upper-proper	NA	texti005.xml	orthography	capitalization
2-64	NA	verður tilbúinn	missing-words	NA	texti005.xml	vocabulary	omission
2-65	NA	,	missing-comma	NA	texti005.xml	orthography	punctuation
2-65b	Meninga	Meniga	extra-letter	65b-1	texti005.xml	orthography	typo
2-65b	Meninga	Meniga	name-error	65b-1	texti005.xml	orthography	spelling
2-67	eru	er	agreement	NA	texti005.xml	grammar	agreement
2-68	komið í gang	tilbúið	wording	NA	texti005.xml	style	wording
2-69	herjað til annara landa	sótt á erlenda markaði	wording	NA	texti005.xml	style	wording
2-70	einsog	eins og	merged-words	NA	texti005.xml	orthography	spacing
2-71	Appið	Smáforritið	fw4ice	NA	texti005.xml	style	style
2-72	frítt	ókeypis	style	NA	texti005.xml	style	style
2-73	NA	því verður	missing-words	NA	texti005.xml	vocabulary	omission
2-74	frítt	NA	extra-word	NA	texti005.xml	vocabulary	insertion
2-75	Play Store	Play-verslunina	missing-hyphen	75-1	texti005.xml	orthography	spacing
2-75	Play Store	Play-verslunina	fw4ice	75-1	texti005.xml	style	style
2-76	Ég	Í auglýsingaskyni	dep	78-3	texti005.xml	other	miscellaneous
2-76	Ég	Í auglýsingaskyni	style	76-1	texti005.xml	style	style
2-77	NA	ég	dep	76-1	texti005.xml	other	miscellaneous
2-78	„ Word of mouth “ fyrir auglýsingar	að orðið bærist	extra-quots	78-1	texti005.xml	orthography	punctuation
2-78	„ Word of mouth “ fyrir auglýsingar	að orðið bærist	fw4ice	78-2	texti005.xml	style	style
2-78	„ Word of mouth “ fyrir auglýsingar	að orðið bærist	wrong-prep	78-3	texti005.xml	grammar	prep
2-78	„ Word of mouth “ fyrir auglýsingar	að orðið bærist	wording	78-3	texti005.xml	style	wording
2-78	„ Word of mouth “ fyrir auglýsingar	að orðið bærist	style	78-3	texti005.xml	style	style
2-79	NA	auglýsa eftir	dep	80-3	texti005.xml	other	miscellaneous
2-80	myndi ég auglýsa	NA	extra-munu	80-1	texti005.xml	grammar	aux
2-80	myndi ég auglýsa	NA	extra-word	80-2	texti005.xml	vocabulary	insertion
2-80	myndi ég auglýsa	NA	syntax-other	80-3	texti005.xml	grammar	syntax
2-80	myndi ég auglýsa	NA	missing-prep	80-3	texti005.xml	grammar	prep
2-81	Einsog	Eins og	merged-words	NA	texti005.xml	orthography	spacing
2-82	appið	smáforritið	fw4ice	NA	texti005.xml	style	style
2-83	er kominn	eru komin	agreement	NA	texti005.xml	grammar	agreement
2-84	NA	,	missing-comma	NA	texti005.xml	orthography	punctuation
2-85	NA	mun	dep	86-1	texti005.xml	other	miscellaneous
2-86	mun	NA	v3	86-1	texti005.xml	grammar	syntax
2-87	gangagrunninn	gagnagrunninn	swapped-letters	87-1	texti005.xml	orthography	typo
2-87	gangagrunninn	gagnagrunninn	nonword	87-1	texti005.xml	orthography	nonword
2-88	hurðir	dyr	context	NA	texti005.xml	vocabulary	lexical
2-89	t.d.	, til dæmis :	missing-comma	89-1	texti005.xml	orthography	punctuation
2-89	t.d.	, til dæmis :	abbreviation4words	89-2	texti005.xml	style	style
2-89	t.d.	, til dæmis :	missing-colon	89-3	texti005.xml	orthography	punctuation
2-90	Matarkörfuapp	Matarkörfusmáforrit	fw4ice	NA	texti005.xml	style	style
2-91	og leyfir	sem gerir	conjunction	91-1	texti005.xml	grammar	conjunction
2-91	og leyfir	sem gerir	wording	91-2	texti005.xml	style	wording
2-92	NA	kleift	dep	91-2	texti005.xml	other	miscellaneous
2-93	NA	í þá	dep	94-1	texti005.xml	other	miscellaneous
2-93	NA	í þá	missing-dem-pro	93-1	texti005.xml	grammar	definitiveness
2-94	í	NA	syntax-other	94-1	texti005.xml	grammar	syntax
2-95	Uppskriftarapp	Uppskriftasmáforrit	fw4ice	NA	texti005.xml	style	style
2-96	og leyfir	sem gerir	conjunction	96-1	texti005.xml	grammar	conjunction
2-96	og leyfir	sem gerir	wording	96-2	texti005.xml	style	wording
2-97	NA	kleift	dep	96-2	texti005.xml	other	miscellaneous
2-98	NA	í	missing-prep	NA	texti005.xml	grammar	prep
2-99	Selja verslunum aðgang	Sala aðgangs	wording	99-1	texti005.xml	style	wording
2-100	NA	til verslana	dep	99-1	texti005.xml	other	miscellaneous
2-101	NA	sjálfum	dep	102-1	texti005.xml	other	miscellaneous
2-102	sjálf	NA	syntax-other	102-1	texti005.xml	grammar	syntax
2-102b	NA	t.d.	wording	102b-1	texti005.xml	style	wording
2-102c	t.d.	NA	dep	102b-1	texti005.xml	other	miscellaneous
2-103	þeir eru	hún er	agreement-pro	NA	texti005.xml	grammar	agreement
2-103	þeir eru	hún er	agreement	NA	texti005.xml	grammar	agreement
2-104	það	enginn	extra-word	104-1	texti005.xml	vocabulary	insertion
2-104	það	enginn	dep	105-1	texti005.xml	other	miscellaneous
2-105	enginn	NA	syntax-other	105-1	texti005.xml	grammar	syntax
2-106	geta þeir	getur hún	dep	106-1	texti005.xml	other	miscellaneous
2-106	geta þeir	getur hún	agreement-pro	106-1	texti005.xml	grammar	agreement
2-107	sjálfir	sjálf	agreement-pro	NA	texti005.xml	grammar	agreement
2-108	Selja fyrirtækjum sem greina gögn aðgang	Sala aðgangs	wording	108-1	texti005.xml	style	wording
2-109	gögnunum .	gögnum til fyrirtækja sem greina gögn	def4ind	109-1	texti005.xml	grammar	definitiveness
2-109	gögnunum .	gögnum til fyrirtækja sem greina gögn	extra-period	109-2	texti005.xml	orthography	punctuation
2-109	gögnunum .	gögnum til fyrirtækja sem greina gögn	dep	108-1	texti005.xml	other	miscellaneous
2-110	NA	.	dep	109-2	texti005.xml	other	miscellaneous
2-111	Android appið	Android-smáforritið	missing-hyphen	111-1	texti005.xml	orthography	spacing
2-111	Android appið	Android-smáforritið	fw4ice	111-1	texti005.xml	style	style
2-112	verður tilbúið	verða tilbúin	agreement	NA	texti005.xml	grammar	agreement
2-113	lágmarks eiginleikum	lágmarkseiginleikum	split-compound	NA	texti005.xml	orthography	spacing
2-113b	gera	framkvæma	wording	NA	texti005.xml	style	wording
2-114	appið	smáforritið	fw4ice	NA	texti005.xml	style	style
2-115	Android snjallsíma	Android-snjallsíma	missing-hyphen	NA	texti005.xml	orthography	spacing
2-116	appið	smáforritið	fw4ice	NA	texti005.xml	style	style
2-117	Android forritun	Android-forritun .	missing-hyphen	117-1	texti005.xml	orthography	spacing
2-117	Android forritun	Android-forritun .	missing-period	117-2	texti005.xml	orthography	punctuation
2-118	bakenda forritun	bakendaforritun .	split-compound	118-1	texti005.xml	orthography	spacing
2-118	bakenda forritun	bakendaforritun .	missing-period	118-2	texti005.xml	orthography	punctuation
2-119	lágmarks einginleika appi afstað á iPhone	lágmarkseiginleikasmáforriti af stað fyrir iPhone-stýrikerfi .	split-compound	119-1	texti005.xml	orthography	spacing
2-119	lágmarks einginleika appi afstað á iPhone	lágmarkseiginleikasmáforriti af stað fyrir iPhone-stýrikerfi .	fw4ice	119-1	texti005.xml	style	style
2-119	lágmarks einginleika appi afstað á iPhone	lágmarkseiginleikasmáforriti af stað fyrir iPhone-stýrikerfi .	split-compound	119-2	texti005.xml	orthography	spacing
2-119	lágmarks einginleika appi afstað á iPhone	lágmarkseiginleikasmáforriti af stað fyrir iPhone-stýrikerfi .	wrong-prep	119-3	texti005.xml	grammar	prep
2-119	lágmarks einginleika appi afstað á iPhone	lágmarkseiginleikasmáforriti af stað fyrir iPhone-stýrikerfi .	missing-hyphen	119-4	texti005.xml	orthography	spacing
2-119	lágmarks einginleika appi afstað á iPhone	lágmarkseiginleikasmáforriti af stað fyrir iPhone-stýrikerfi .	missing-word	119-4	texti005.xml	vocabulary	omission
2-119	lágmarks einginleika appi afstað á iPhone	lágmarkseiginleikasmáforriti af stað fyrir iPhone-stýrikerfi .	missing-period	119-5	texti005.xml	orthography	punctuation
3-1	er partu	eru partur	agreement	1-1	texti011.xml	grammar	agreement
3-1	er partu	eru partur	missing-letter	1-2	texti011.xml	orthography	typo
3-1	er partu	eru partur	nonword	1-2	texti011.xml	orthography	nonword
3-2	eddu kvæðunum	Eddukvæðum	split-compound	2-1	texti011.xml	orthography	spacing
3-2	eddu kvæðunum	Eddukvæðum	lower4upper-proper	2-1	texti011.xml	orthography	capitalization
3-3	Það er samgermensk aftur	Þau eru samgermanskur menningararfur	agreement-pro	3-1	texti011.xml	grammar	agreement
3-3	Það er samgermensk aftur	Þau eru samgermanskur menningararfur	agreement	3-2	texti011.xml	grammar	agreement
3-3	Það er samgermensk aftur	Þau eru samgermanskur menningararfur	letter-rep	3-3	texti011.xml	orthography	typo
3-3	Það er samgermensk aftur	Þau eru samgermanskur menningararfur	agreement-concord	3-3	texti011.xml	grammar	agreement
3-3	Það er samgermensk aftur	Þau eru samgermanskur menningararfur	nonword	3-3	texti011.xml	orthography	nonword
3-3	Það er samgermensk aftur	Þau eru samgermanskur menningararfur	letter-rep	3-4	texti011.xml	orthography	typo
3-3	Það er samgermensk aftur	Þau eru samgermanskur menningararfur	swapped-letters	3-4	texti011.xml	orthography	typo
3-3	Það er samgermensk aftur	Þau eru samgermanskur menningararfur	wording	3-4	texti011.xml	style	wording
3-4	þau	NA	extra-sub	NA	texti011.xml	grammar	syntax
3-5	forn ensk	fornensk	split-word	NA	texti011.xml	orthography	spacing
3-6	þýsk	-þýsk	missing-hyphen	NA	texti011.xml	orthography	spacing
3-7	Hetjkvæði	Hetjukvæði	missing-letter	7-1	texti011.xml	orthography	typo
3-7	Hetjkvæði	Hetjukvæði	nonword	7-1	texti011.xml	orthography	nonword
3-8	hetrjukvæðum er sagt frá fornum sögum sögurnar	hetjukvæðum	extra-letter	8-1	texti011.xml	orthography	typo
